director_name,actor_3_name,actor_2_name,actor_1_name,genres,movie_title
Anthony Russo,Chris Evans,Scarlett Johansson,Robert Downey Jr.,Action Adventure Sci-Fi,captain america: civil war
Peter Berg,Tadanobu Asano,Alexander Skarsgård,Liam Neeson,Action Adventure Sci-Fi Thriller,battleship
Colin Trevorrow,Omar Sy,Judy Greer,Bryce Dallas Howard,Action Adventure Sci-Fi Thriller,jurassic world
Sam Mendes,Rory Kinnear,Helen McCrory,Albert Finney,Action Adventure Thriller,skyfall
Sam Raimi,Kirsten Dunst,James Franco,J.K. Simmons,Action Adventure Fantasy Romance,spider-man 2
Shane Black,Don Cheadle,Jon Favreau,Robert Downey Jr.,Action Adventure Sci-Fi,iron man 3
Tim Burton,Anne Hathaway,Alan Rickman,Johnny Depp,Adventure Family Fantasy,alice in wonderland
Brett Ratner,Daniel Cudmore,Kelsey Grammer,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand
Dan Scanlon,Sean Hayes,Tyler Labine,Steve Buscemi,Adventure Animation Comedy Family Fantasy,monsters university
Michael Bay,Ramon Rodriguez,Kevin Dunn,Glenn Morshower,Action Adventure Sci-Fi,transformers: revenge of the fallen
Michael Bay,Kelsey Grammer,Sophia Myles,Bingbing Li,Action Adventure Sci-Fi,transformers: age of extinction
Sam Raimi,James Franco,Mila Kunis,Tim Holmes,Adventure Family Fantasy,oz the great and powerful
Marc Webb,B.J. Novak,Andrew Garfield,Emma Stone,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2
Joseph Kosinski,James Frain,Olivia Wilde,Jeff Bridges,Action Adventure Sci-Fi,tron: legacy
John Lasseter,Eddie Izzard,Thomas Kretschmann,Joe Mantegna,Adventure Animation Comedy Family Sport,cars 2
Martin Campbell,Taika Waititi,Temuera Morrison,Ryan Reynolds,Action Adventure Sci-Fi,green lantern
Lee Unkrich,Don Rickles,John Ratzenberger,Tom Hanks,Adventure Animation Comedy Family Fantasy,toy story 3
McG,Common,Bryce Dallas Howard,Christian Bale,Action Adventure Sci-Fi,terminator salvation
James Wan,Vin Diesel,Paul Walker,Jason Statham,Action Crime Thriller,furious 7
Marc Forster,Mireille Enos,Brad Pitt,Peter Capaldi,Action Adventure Horror Sci-Fi Thriller,world war z
Bryan Singer,Hugh Jackman,Peter Dinklage,Jennifer Lawrence,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past
J.J. Abrams,Noel Clarke,Bruce Greenwood,Benedict Cumberbatch,Action Adventure Sci-Fi,star trek into darkness
Bryan Singer,Ralph Brown,Ewen Bremner,Eddie Marsan,Adventure Fantasy,jack the giant slayer
Baz Luhrmann,Steve Bisley,Elizabeth Debicki,Leonardo DiCaprio,Drama Romance,the great gatsby
Mike Newell,Reece Ritchie,Richard Coyle,Jake Gyllenhaal,Action Adventure Fantasy Romance,prince of persia: the sands of time
Guillermo del Toro,Larry Joe Campbell,Clifton Collins Jr.,Charlie Hunnam,Action Adventure Sci-Fi,pacific rim
Michael Bay,Kevin Dunn,Lester Speight,Glenn Morshower,Action Adventure Sci-Fi,transformers: dark of the moon
Steven Spielberg,Jim Broadbent,Ray Winstone,Harrison Ford,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull
Peter Sohn,Peter Sohn,Jack McGraw,A.J. Buckley,Adventure Animation Comedy Family Fantasy,the good dinosaur
Mark Andrews,Julie Walters,John Ratzenberger,Kelly Macdonald,Adventure Animation Comedy Family Fantasy,brave
Justin Lin,Lydia Wilson,Melissa Roxburgh,Sofia Boutella,Action Adventure Sci-Fi Thriller,star trek beyond
Andrew Stanton,Jeff Garlin,Fred Willard,John Ratzenberger,Adventure Animation Family Sci-Fi,wall·e
Brett Ratner,Noémie Lenoir,Dana Ivey,Tzi Ma,Action Comedy Crime Thriller,rush hour 3
Roland Emmerich,Tom McCarthy,Liam James,Oliver Platt,Action Adventure Sci-Fi,2012
Robert Zemeckis,Gary Oldman,Colin Firth,Robin Wright,Animation Drama Family Fantasy,a christmas carol
Lana Wachowski,Eddie Redmayne,Mila Kunis,Channing Tatum,Action Adventure Sci-Fi,jupiter ascending
David Yates,Casper Crump,Alexander Skarsgård,Christoph Waltz,Action Adventure Drama Romance,the legend of tarzan
Andrew Adamson,Shane Rangi,Kiran Shah,Jim Broadbent,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe"
Bryan Singer,Tye Sheridan,Michael Fassbender,Jennifer Lawrence,Action Adventure Sci-Fi,x-men: apocalypse
Christopher Nolan,Morgan Freeman,Heath Ledger,Christian Bale,Action Crime Drama Thriller,the dark knight
Pete Docter,Jess Harnell,Delroy Lindo,John Ratzenberger,Adventure Animation Comedy Family,up
Rob Letterman,Stephen Colbert,Rainn Wilson,Amy Poehler,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens
Jon Favreau,Jon Favreau,Jeff Bridges,Robert Downey Jr.,Action Adventure Sci-Fi,iron man
Martin Scorsese,Ray Winstone,Christopher Lee,Chloë Grace Moretz,Adventure Drama Family Mystery,hugo
Barry Sonnenfeld,Bai Ling,Salma Hayek,Will Smith,Action Comedy Sci-Fi Western,wild wild west
Rob Cohen,Russell Wong,Brendan Fraser,Jet Li,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor
David Ayer,Ike Barinholtz,Robin Atkin Downes,Will Smith,Action Adventure Comedy Sci-Fi,suicide squad
Tom Shadyac,Steve Carell,Morgan Freeman,Jimmy Bennett,Comedy Family Fantasy,evan almighty
Doug Liman,Noah Taylor,Lara Pulver,Tom Cruise,Action Adventure Sci-Fi,edge of tomorrow
Kevin Reynolds,Zakes Mokae,Rick Aviles,Jeanne Tripplehorn,Action Adventure Sci-Fi Thriller,waterworld
Stephen Sommers,Leo Howard,Dennis Quaid,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra
Pete Docter,Phyllis Smith,Mindy Kaling,Amy Poehler,Adventure Animation Comedy Drama Family Fantasy,inside out
Jon Favreau,Garry Shandling,Bill Murray,Scarlett Johansson,Adventure Drama Family Fantasy,the jungle book
Jon Favreau,Jon Favreau,Scarlett Johansson,Robert Downey Jr.,Action Adventure Sci-Fi,iron man 2
Rupert Sanders,Sam Claflin,Kristen Stewart,Chris Hemsworth,Action Adventure Drama Fantasy,snow white and the huntsman
Robert Stromberg,Sam Riley,Sharlto Copley,Angelina Jolie Pitt,Action Adventure Family Fantasy Romance,maleficent
Matt Reeves,Kodi Smit-McPhee,Judy Greer,Gary Oldman,Action Adventure Drama Sci-Fi,dawn of the planet of the apes
Roland Joffé,Bipasha Basu,Alice Englert,Tamsin Egerton,Action Adventure Romance Sci-Fi,the lovers
Carl Rinsch,Jin Akanishi,Cary-Hiroyuki Tagawa,Keanu Reeves,Action Adventure Drama Fantasy,47 ronin
Anthony Russo,Hayley Atwell,Chris Evans,Scarlett Johansson,Action Adventure Sci-Fi,captain america: the winter soldier
Mike Mitchell,Mary Kay Place,Kathy Griffin,Jon Hamm,Adventure Animation Comedy Family Fantasy,shrek forever after
Brad Bird,Thomas Robinson,Chris Bauer,Judy Greer,Action Adventure Family Mystery Sci-Fi,tomorrowland
Don Hall,Abraham Benrubi,Daniel Henney,Damon Wayans Jr.,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6
Rich Moore,Joe Lo Truglio,Sarah Silverman,Jack McBrayer,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph
Robert Zemeckis,Peter Scolari,Eddie Deezen,Tom Hanks,Adventure Animation Family Fantasy,the polar express
Roland Emmerich,Judd Hirsch,Sela Ward,Vivica A. Fox,Action Adventure Sci-Fi,independence day: resurgence
Dean DeBlois,Craig Ferguson,America Ferrera,Gerard Butler,Adventure Animation Family Fantasy,how to train your dragon
Jonathan Mostow,Carolyn Hennesy,M.C. Gainey,Nick Stahl,Action Sci-Fi,terminator 3: rise of the machines
James Gunn,Djimon Hounsou,Vin Diesel,Bradley Cooper,Action Adventure Sci-Fi,guardians of the galaxy
Christopher Nolan,Mackenzie Foy,Anne Hathaway,Matthew McConaughey,Adventure Drama Sci-Fi,interstellar
Christopher Nolan,Joseph Gordon-Levitt,Tom Hardy,Leonardo DiCaprio,Action Adventure Sci-Fi Thriller,inception
Hideaki Anno,Atsuko Maeda,Shin'ya Tsukamoto,Mark Chinnery,Action Adventure Drama Horror Sci-Fi,godzilla resurgence
Peter Jackson,James Nesbitt,Adam Brown,Aidan Turner,Adventure Fantasy,the hobbit: an unexpected journey
Rob Cohen,Jordana Brewster,Vin Diesel,Paul Walker,Action Crime Thriller,the fast and the furious
David Fincher,Julia Ormond,Jason Flemyng,Brad Pitt,Drama Fantasy Romance,the curious case of benjamin button
Matthew Vaughn,Oliver Platt,Michael Fassbender,Jennifer Lawrence,Action Adventure Sci-Fi,x-men: first class
Francis Lawrence,Josh Hutcherson,Philip Seymour Hoffman,Jennifer Lawrence,Adventure Sci-Fi,the hunger games: mockingjay - part 2
Jon Turteltaub,Robert Capron,Omar Benson Miller,Nicolas Cage,Action Adventure Family Fantasy,the sorcerer's apprentice
Wolfgang Petersen,Andre Braugher,Mike Vogel,Jimmy Bennett,Action Adventure Drama Thriller,poseidon
James Bobin,Anne Hathaway,Alan Rickman,Johnny Depp,Adventure Family Fantasy,alice through the looking glass
Chris Miller,Rupert Everett,Eric Idle,Justin Timberlake,Adventure Animation Comedy Family Fantasy,shrek the third
Duncan Jones,Ruth Negga,Callum Rennie,Dominic Cooper,Action Adventure Fantasy,warcraft
Alan Taylor,Matt Smith,Emilia Clarke,J.K. Simmons,Action Adventure Sci-Fi,terminator genisys
Michael Apted,Laura Brent,Shane Rangi,Bruce Spence,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader
Michael Bay,Mako,Jaime King,Jennifer Garner,Action Drama History Romance War,pearl harbor
Michael Bay,Kevin Dunn,Michael O'Neill,Zack Ward,Action Adventure Sci-Fi,transformers
Oliver Stone,Brian Blessed,Angelina Jolie Pitt,Anthony Hopkins,Action Adventure Biography Drama History Romance War,alexander
David Yates,Fiona Shaw,Daniel Radcliffe,Robert Pattinson,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix
Mike Newell,Rupert Grint,Daniel Radcliffe,Robert Pattinson,Adventure Family Fantasy Mystery,harry potter and the goblet of fire
Peter Berg,Eddie Marsan,Charlize Theron,Will Smith,Action Drama,hancock
Francis Lawrence,Willow Smith,Alice Braga,Will Smith,Drama Horror Sci-Fi,i am legend
Tim Burton,David Kelly,Christopher Lee,Johnny Depp,Adventure Comedy Family Fantasy,charlie and the chocolate factory
Brad Bird,Brian Dennehy,John Ratzenberger,Janeane Garofalo,Animation Comedy Family Fantasy,ratatouille
Christopher Nolan,Morgan Freeman,Liam Neeson,Christian Bale,Action Adventure,batman begins
Eric Darnell,Cedric the Entertainer,Jada Pinkett Smith,Bernie Mac,Action Adventure Animation Comedy Family,madagascar: escape 2 africa
Shawn Levy,Steve Coogan,Rami Malek,Robin Williams,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian
Gavin Hood,Dominic Monaghan,Ryan Reynolds,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine
Lana Wachowski,Nona Gaye,Collin Chou,Essie Davis,Action Sci-Fi,the matrix revolutions
Chris Buck,Livvy Stubenrauch,Maurice LaMarche,Josh Gad,Adventure Animation Comedy Family Fantasy Musical,frozen
Lana Wachowski,Helmut Bakaitis,Daniel Bernhardt,Steve Bastoni,Action Sci-Fi,the matrix reloaded
Alan Taylor,Anthony Hopkins,Natalie Portman,Chris Hemsworth,Action Adventure Fantasy,thor: the dark world
George Miller,Zoë Kravitz,Charlize Theron,Tom Hardy,Action Adventure Sci-Fi Thriller,mad max: fury road
Ron Howard,Armin Mueller-Stahl,Ayelet Zurer,Tom Hanks,Mystery Thriller,angels & demons
Kenneth Branagh,Anthony Hopkins,Natalie Portman,Chris Hemsworth,Action Adventure Fantasy,thor
Byron Howard,James Lipton,Diedrich Bader,Chloë Grace Moretz,Adventure Animation Comedy Drama Family,bolt
Hoyt Yeatman,Niecy Nash,Piper Mackenzie Harris,Kelli Garner,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force
Jonathan Liebesman,Lily James,Edgar Ramírez,Liam Neeson,Action Adventure Fantasy,wrath of the titans
Tim Burton,Christopher Lee,Chloë Grace Moretz,Johnny Depp,Comedy Fantasy Horror,dark shadows
Christopher McQuarrie,Sean Harris,Jeremy Renner,Tom Cruise,Action Adventure Thriller,mission: impossible - rogue nation
Joe Johnston,Art Malik,Simon Merrells,Anthony Hopkins,Drama Fantasy Horror Thriller,the wolfman
David Yates,Casper Crump,Alexander Skarsgård,Christoph Waltz,Action Adventure Drama Romance,the legend of tarzan
Steve Hickner,Rip Torn,Oprah Winfrey,Matthew Broderick,Adventure Animation Comedy Family,bee movie
Jennifer Yuh Nelson,Mike Bell,Gary Oldman,Angelina Jolie Pitt,Action Adventure Animation Comedy Family,kung fu panda 2
M. Night Shyamalan,Aasif Mandvi,Noah Ringer,Seychelle Gabriel,Action Adventure Family Fantasy,the last airbender
J.J. Abrams,Eddie Marsan,Tom Cruise,Philip Seymour Hoffman,Action Adventure Thriller,mission: impossible iii
Roland Emmerich,Matt Craven,Jake Weber,Channing Tatum,Action Drama Thriller,white house down
Simon Wells,Tom Everett Scott,Dan Fogler,Elisabeth Harnois,Action Adventure Animation Comedy Family Sci-Fi,mars needs moms
David Bowers,David Suchet,Kate Winslet,Hugh Jackman,Adventure Animation Comedy Family,flushed away
Joe Wright,Nonso Anozie,Cara Delevingne,Hugh Jackman,Adventure Family Fantasy,pan
Rob Minkoff,Karan Brar,Zach Callison,Ty Burrell,Adventure Animation Comedy Family Sci-Fi,mr. peabody & sherman
Wolfgang Petersen,Julian Glover,Orlando Bloom,Brad Pitt,Adventure,troy
Eric Darnell,Cedric the Entertainer,Martin Short,Jada Pinkett Smith,Adventure Animation Comedy Family,madagascar 3: europe's most wanted
Lee Tamahori,Rick Yune,Colin Salmon,Toby Stephens,Action Adventure Thriller,die another day
Paul Feig,Zach Woods,Kate McKinnon,Ed Begley Jr.,Action Comedy Fantasy Sci-Fi,ghostbusters
Michael Bay,Will Patton,Steve Buscemi,Bruce Willis,Action Adventure Sci-Fi Thriller,armageddon
Barry Sonnenfeld,Rip Torn,Rosario Dawson,Will Smith,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,men in black ii
Robert Zemeckis,Sebastian Roché,Anthony Hopkins,Robin Wright,Action Adventure Animation Fantasy,beowulf
Alessandro Carloni,Wayne Knight,Angelina Jolie Pitt,J.K. Simmons,Action Adventure Animation Comedy Family,kung fu panda 3
Brad Bird,Michael Nyqvist,Jeremy Renner,Tom Cruise,Action Adventure Thriller,mission: impossible - ghost protocol
Peter Ramsey,Khamani Griffin,Kamil McFadden,Hugh Jackman,Adventure Animation Family Fantasy,rise of the guardians
Dean Parisot,David Herman,Richard Burgi,John Michael Higgins,Comedy Crime,fun with dick and jane
Edward Zwick,Chad Lindberg,Tony Goldwyn,Tom Cruise,Action Drama History War,the last samurai
Ridley Scott,Ben Mendelsohn,María Valverde,Christian Bale,Action Adventure Drama,exodus: gods and kings
J.J. Abrams,Bruce Greenwood,Leonard Nimoy,Chris Hemsworth,Action Adventure Sci-Fi,star trek
Sam Raimi,Kirsten Dunst,James Franco,J.K. Simmons,Action Adventure Fantasy Romance,spider-man
Dean DeBlois,America Ferrera,Djimon Hounsou,Gerard Butler,Action Adventure Animation Comedy Family Fantasy,how to train your dragon 2
Alex Proyas,Bryan Brown,Elodie Yung,Gerard Butler,Action Adventure Fantasy,gods of egypt
Rob Cohen,Richard Roxburgh,Joe Morton,Sam Shepard,Action Adventure Sci-Fi Thriller,stealth
Zack Snyder,Stephen McHattie,Billy Crudup,Matt Frewer,Action Drama Mystery Sci-Fi,watchmen
Richard Donner,Darlene Love,Rene Russo,Jet Li,Action Crime Thriller,lethal weapon 4
Ang Lee,Celia Weston,Regi Davis,Kevin Rankin,Action Sci-Fi,hulk
Jon M. Chu,Elodie Yung,Dwayne Johnson,Channing Tatum,Action Adventure Sci-Fi Thriller,g.i. joe: retaliation
Breck Eisner,Delroy Lindo,Rainn Wilson,Matthew McConaughey,Action Adventure Comedy Thriller,sahara
Hironobu Sakaguchi,Jean Simmons,Ming-Na Wen,Steve Buscemi,Action Adventure Animation Fantasy Romance Sci-Fi,final fantasy: the spirits within
Joe Johnston,Hayley Atwell,Dominic Cooper,Chris Evans,Action Adventure Sci-Fi,captain america: the first avenger
Michael Apted,Desmond Llewelyn,Maria Grazia Cucinotta,Colin Salmon,Action Adventure Thriller,the world is not enough
Peter Weir,David Threlfall,Lee Ingleby,James D'Arcy,Action Adventure Drama History War,master and commander: the far side of the world
Bill Condon,Taylor Lautner,Kristen Stewart,Robert Pattinson,Adventure Drama Fantasy Romance,the twilight saga: breaking dawn - part 2
George Miller,Common,Brad Pitt,Robin Williams,Animation Comedy Family Musical,happy feet 2
Louis Leterrier,William Hurt,Peter Mensah,Ty Burrell,Action Adventure Sci-Fi,the incredible hulk
,John Diehl,Philip Michael Thomas,Don Johnson,Action Crime Drama Mystery Thriller,miami vice            
Steven Spielberg,Rafe Spall,Penelope Wilton,Mark Rylance,Adventure Family Fantasy,the bfg
Alejandro G. Iñárritu,Lukas Haas,Tom Hardy,Leonardo DiCaprio,Adventure Drama Thriller Western,the revenant
David Soren,Ben Schwartz,Snoop Dogg,Ryan Reynolds,Adventure Animation Comedy Family Sport,turbo
Gore Verbinski,Stephen Root,Ray Winstone,Johnny Depp,Adventure Animation Comedy Family Western,rango
Eric Darnell,Andy Richter,Annet Mahendru,Benedict Cumberbatch,Adventure Animation Comedy Family,penguins of madagascar
Paul Greengrass,Albert Finney,Edgar Ramírez,Matt Damon,Action Mystery Thriller,the bourne ultimatum
Mark Osborne,Dan Fogler,Wayne Knight,Angelina Jolie Pitt,Action Adventure Animation Comedy Family,kung fu panda
Peyton Reed,T.I.,Hayley Atwell,Judy Greer,Action Adventure Comedy Sci-Fi,ant-man
Francis Lawrence,Sandra Ellis Lafferty,Josh Hutcherson,Jennifer Lawrence,Adventure Sci-Fi Thriller,the hunger games: catching fire
Bill Condon,Taylor Lautner,Kristen Stewart,Robert Pattinson,Adventure Drama Fantasy Romance,the twilight saga: breaking dawn - part 2
Tim Johnson,April Winchell,Matt Jones,Jim Parsons,Adventure Animation Comedy Family Fantasy Sci-Fi,home
Steven Spielberg,Rick Gonzalez,Lisa Ann Walter,Tom Cruise,Adventure Sci-Fi Thriller,war of the worlds
Michael Bay,Jordi Mollà,Henry Rollins,Will Smith,Action Comedy Crime Thriller,bad boys ii
Chris Miller,Amy Sedaris,Constance Marie,Salma Hayek,Action Adventure Animation Comedy Family Fantasy,puss in boots
Phillip Noyce,August Diehl,Andre Braugher,Angelina Jolie Pitt,Action Crime Mystery Thriller,salt
Darren Aronofsky,Logan Lerman,Emma Watson,Anthony Hopkins,Action Adventure Drama,noah
Steven Spielberg,Tony Curran,Mackenzie Crook,Toby Jones,Action Adventure Family Mystery,the adventures of tintin
Alfonso Cuarón,Rupert Grint,Gary Oldman,Daniel Radcliffe,Adventure Family Fantasy Mystery,harry potter and the prisoner of azkaban
Baz Luhrmann,Eddie Baroo,Bryan Brown,Essie Davis,Adventure Drama Romance War,australia
M. Night Shyamalan,Glenn Morshower,Zoë Kravitz,Will Smith,Action Adventure Sci-Fi,after earth
Eric Leighton,Della Reese,D.B. Sweeney,Alfre Woodard,Adventure Animation Family Thriller,dinosaur
Matt Birch,Ralph Ineson,Dave Legeno,Rupert Grint,Action Fantasy,harry potter and the deathly hallows: part ii
Shawn Levy,Steve Coogan,Rami Malek,Robin Williams,Adventure Comedy Family Fantasy,night at the museum: secret of the tomb
Tom McGrath,Will Ferrell,Brad Pitt,J.K. Simmons,Action Animation Comedy Family Sci-Fi,megamind
Chris Columbus,Verne Troyer,Fiona Shaw,Daniel Radcliffe,Adventure Family Fantasy,harry potter and the sorcerer's stone
Robert Schwentke,Stephanie Szostak,Jeff Bridges,Ryan Reynolds,Action Comedy Fantasy,r.i.p.d.
Hideaki Anno,Atsuko Maeda,Shin'ya Tsukamoto,Mark Chinnery,Action Adventure Drama Horror Sci-Fi,godzilla resurgence
Gore Verbinski,Jack Davenport,Orlando Bloom,Johnny Depp,Action Adventure Fantasy,pirates of the caribbean: the curse of the black pearl
Matt Birch,Alfred Enoch,Toby Jones,Rupert Grint,Fantasy,harry potter and the deathly hallows: part i
Francis Lawrence,Josh Hutcherson,Philip Seymour Hoffman,Jennifer Lawrence,Adventure Sci-Fi Thriller,the hunger games: mockingjay - part 1
Ron Howard,Jürgen Prochnow,Seth Gabel,Tom Hanks,Mystery Thriller,the da vinci code
Carlos Saldanha,Jeffrey Garcia,Rachel Crow,Miguel Ferrer,Adventure Animation Comedy Family Musical,rio 2
Bryan Singer,Aaron Stanford,Bruce Davison,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men 2
Justin Lin,Dwayne Johnson,Vin Diesel,Paul Walker,Action Crime Thriller,fast five
Guy Ritchie,Paul Anderson,Eddie Marsan,Robert Downey Jr.,Action Adventure Crime Mystery Thriller,sherlock holmes: a game of shadows
Louis Leterrier,Alexa Davalos,Jason Flemyng,Liam Neeson,Action Adventure Fantasy,clash of the titans
Paul Verhoeven,Marshall Bell,Rachel Ticotin,Ronny Cox,Action Sci-Fi,total recall
John McTiernan,Clive Russell,Vladimir Kulich,Tony Curran,Action Adventure History,the 13th warrior
Tony Gilroy,Stacy Keach,Scott Glenn,Jeremy Renner,Action Adventure Thriller,the bourne legacy
Joel Schumacher,John Glover,Vivica A. Fox,Michael Gough,Action,batman & robin
Ron Howard,Molly Shannon,T.J. Thyne,Clint Howard,Comedy Family Fantasy,how the grinch stole christmas
Roland Emmerich,Sela Ward,Dennis Quaid,Jake Gyllenhaal,Action Adventure Sci-Fi Thriller,the day after tomorrow
John Woo,Richard Roxburgh,Dougray Scott,Tom Cruise,Action Adventure Thriller,mission: impossible ii
Wolfgang Petersen,Bob Gunton,Mary Elizabeth Mastrantonio,Karen Allen,Action Adventure Drama Thriller,the perfect storm
Tim Story,Andre Braugher,Ioan Gruffudd,Chris Evans,Action Adventure Sci-Fi Thriller,fantastic 4: rise of the silver surfer
Ang Lee,Tabu,Rafe Spall,Suraj Sharma,Adventure Drama Fantasy,life of pi
Mark Steven Johnson,Peter Fonda,Matt Long,Nicolas Cage,Action Fantasy Thriller,ghost rider
Paul Greengrass,Ato Essandoh,Riz Ahmed,Matt Damon,Action Thriller,jason bourne
McG,Justin Theroux,Bernie Mac,Demi Moore,Action Adventure Comedy Crime,charlie's angels: full throttle
Ridley Scott,Sean Harris,Charlize Theron,Michael Fassbender,Adventure Mystery Sci-Fi,prometheus
Rob Minkoff,Melanie Griffith,Brad Garrett,Nathan Lane,Adventure Animation Comedy Family Fantasy,stuart little 2
Neill Blomkamp,Alice Braga,Sharlto Copley,Matt Damon,Action Drama Sci-Fi Thriller,elysium
David Twohy,Christina Cox,Alexa Davalos,Vin Diesel,Action Adventure Sci-Fi Thriller,the chronicles of riddick
José Padilha,Jennifer Ehle,Abbie Cornish,Gary Oldman,Action Crime Sci-Fi Thriller,robocop
Lana Wachowski,Nicholas Elia,Kick Gurry,Scott Porter,Action Family Sport,speed racer
James L. Brooks,Teyonah Parris,Domenick Lombardozzi,Shelley Conn,Comedy Drama Romance,how do you know
James Mangold,Jordi Mollà,Marc Blucas,Tom Cruise,Action Comedy Romance,knight and day
Joseph Kosinski,Zoë Bell,Tom Cruise,Morgan Freeman,Action Adventure Mystery Sci-Fi,oblivion
George Lucas,Hayden Christensen,Christopher Lee,Natalie Portman,Action Adventure Fantasy Sci-Fi,star wars: episode iii - revenge of the sith
George Lucas,Hayden Christensen,Christopher Lee,Natalie Portman,Action Adventure Fantasy Sci-Fi,star wars: episode ii - attack of the clones
Pete Docter,James Coburn,John Ratzenberger,Steve Buscemi,Adventure Animation Comedy Family Fantasy,"monsters, inc."
James Mangold,Rila Fukushima,Tao Okamoto,Hugh Jackman,Action Adventure Sci-Fi Thriller,the wolverine
George Lucas,Ian McDiarmid,Liam Neeson,Natalie Portman,Action Adventure Fantasy Sci-Fi,star wars: episode i - the phantom menace
Kirk De Micco,Nicolas Cage,Emma Stone,Ryan Reynolds,Adventure Animation Comedy Family Fantasy,the croods
Frédéric Forestier,Vanessa Hessler,Santiago Segura,Alain Delon,Adventure Comedy Family Fantasy,asterix at the olympic games
John Woo,Noah Emmerich,Roger Willie,Nicolas Cage,Action Drama War,windtalkers
